# z mu sigma
0.556727 17.623917 0.104656
0.556863 17.588086 0.104658
0.557719 17.419509 0.104671
0.558379 17.620069 0.104682
0.560854 17.556359 0.104721
0.560969 17.750239 0.104723
0.561191 17.576231 0.104727
0.563460 17.613771 0.104763
0.565319 17.686779 0.104793
0.565644 17.662259 0.104798
0.567915 17.746134 0.104834
0.568323 17.510618 0.104841
0.569691 17.616391 0.104863
0.572096 17.725768 0.104902
0.573349 17.796384 0.104923
0.574019 17.661710 0.104934
0.574186 17.612492 0.104936
0.574758 17.600257 0.104946
0.574818 17.677040 0.104947
0.575237 17.648894 0.104953
0.575821 17.730901 0.104963
0.575924 17.688146 0.104965
0.578753 17.776557 0.105011
0.579265 17.850593 0.105019
0.579516 17.852744 0.105024
0.580725 17.687383 0.105044
0.582134 17.674815 0.105067
0.582998 17.800709 0.105081
0.583458 17.712236 0.105089
0.584804 17.768946 0.105111
0.585477 17.831140 0.105122
0.585823 17.892433 0.105128
0.586036 17.618409 0.105131
0.588087 17.756908 0.105166
0.588153 17.602513 0.105167
0.588608 17.806090 0.105174
0.589713 17.868551 0.105193
0.590026 17.783359 0.105198
0.590953 17.706455 0.105214
0.591519 17.817031 0.105223
0.596907 17.751978 0.105314
0.597460 17.883766 0.105323
0.597499 17.949511 0.105324
0.597666 17.811420 0.105327
0.597691 17.982079 0.105327
0.597868 18.172387 0.105330
0.599045 18.018541 0.105350
0.600303 17.585983 0.105372
0.601397 17.817865 0.105390
0.601434 17.827251 0.105391
0.603231 17.835134 0.105422
0.606447 17.762946 0.105477
0.606523 17.809583 0.105478
0.607062 17.863583 0.105487
0.607823 17.751983 0.105500
0.608351 17.806545 0.105510
0.609824 17.998024 0.105535
0.611898 17.902713 0.105571
0.612142 17.923082 0.105575
0.612291 18.073140 0.105578
0.613072 17.725154 0.105591
0.613191 17.819518 0.105593
0.613267 17.745946 0.105595
0.613572 17.923883 0.105600
0.613748 17.878749 0.105603
0.614185 17.872377 0.105611
0.614656 17.956775 0.105619
0.617672 17.738833 0.105671
0.619239 17.855276 0.105699
0.619643 17.961514 0.105706
0.620648 18.005137 0.105724
0.621830 17.858146 0.105744
0.624067 17.853624 0.105784
0.624342 17.938889 0.105789
0.624855 18.018593 0.105798
0.624991 17.986443 0.105800
0.626814 17.957379 0.105832
0.627425 17.725157 0.105843
0.628331 18.149309 0.105859
0.629568 17.844380 0.105881
0.629934 18.158336 0.105888
0.630669 18.035105 0.105901
0.631684 17.838352 0.105919
0.633708 17.910383 0.105955
0.633783 18.018524 0.105957
0.634092 17.862283 0.105962
0.634178 18.030842 0.105964
0.634321 17.942270 0.105966
0.635341 18.098579 0.105985
0.637589 18.052735 0.106025
0.638042 17.835128 0.106033
0.638341 17.871365 0.106039
0.640336 18.093366 0.106075
0.641016 17.936868 0.106087
0.642507 17.871155 0.106114
0.643123 17.938747 0.106125
0.643497 17.993992 0.106132
0.643623 17.982464 0.106134
0.643942 17.897465 0.106140
0.646233 17.904517 0.106182
0.646598 17.861577 0.106188
0.647191 17.952901 0.106199
0.647847 18.274242 0.106211
0.647928 18.079399 0.106213
0.648923 18.098745 0.106231
0.650073 18.081574 0.106252
0.650474 17.938724 0.106259
0.651919 18.171482 0.106286
0.652813 18.103910 0.106302
0.654810 18.063530 0.106339
0.655406 18.030933 0.106350
0.656199 18.076882 0.106365
0.656909 17.915853 0.106378
0.657466 18.047201 0.106388
0.658953 18.060178 0.106416
0.660269 18.008273 0.106440
0.660712 18.175296 0.106449
0.660746 17.926669 0.106449
0.661639 17.966354 0.106466
0.661761 18.155605 0.106468
0.662242 18.170296 0.106477
0.663165 17.919877 0.106495
0.663252 18.196220 0.106496
0.663273 18.129081 0.106497
0.664077 17.998848 0.106512
0.664179 18.234982 0.106513
0.664584 18.041003 0.106521
0.665403 18.051623 0.106536
0.666596 18.164567 0.106559
0.666937 18.054658 0.106565
0.667363 18.009303 0.106573
0.668578 18.061053 0.106596
0.669088 18.020698 0.106606
0.669383 17.998127 0.106611
0.670578 18.172313 0.106634
0.670821 18.162420 0.106638
0.670904 18.182150 0.106640
0.671188 18.072141 0.106645
0.671568 18.180883 0.106652
0.672204 18.118998 0.106664
0.673418 18.360059 0.106687
0.673980 18.141015 0.106698
0.675345 18.118472 0.106724
0.676421 18.182656 0.106744
0.676970 18.164483 0.106755
0.677430 18.024054 0.106764
0.677788 18.172156 0.106770
0.677789 18.135255 0.106771
0.678351 18.112092 0.106781
0.678643 18.164183 0.106787
0.679200 18.209228 0.106797
0.679322 18.151509 0.106800
0.679943 18.083328 0.106812
0.680391 18.064053 0.106820
0.681021 18.214354 0.106832
0.683057 18.189237 0.106871
0.683691 18.128729 0.106883
0.683920 18.203064 0.106888
0.684015 18.196284 0.106890
0.684226 18.172232 0.106894
0.684291 18.178670 0.106895
0.684706 18.074659 0.106903
0.685467 18.199986 0.106918
0.685609 18.355622 0.106920
0.685904 18.042345 0.106926
0.686245 18.176156 0.106933
0.686882 18.159369 0.106945
0.688016 18.242679 0.106967
0.688747 18.143376 0.106981
0.688799 18.118178 0.106982
0.689141 18.023792 0.106989
0.690708 18.012714 0.107019
0.691399 18.380175 0.107032
0.692261 18.208360 0.107049
0.692493 18.160453 0.107054
0.693743 18.157547 0.107078
0.694231 18.147026 0.107087
0.695008 18.261155 0.107102
0.695575 18.325903 0.107114
0.695996 18.273527 0.107122
0.696717 18.336445 0.107136
0.697877 18.239423 0.107159
0.700371 18.111237 0.107207
0.700437 18.254076 0.107209
0.700607 18.218278 0.107212
0.701254 18.093253 0.107225
0.701678 18.263677 0.107233
0.701735 18.165870 0.107234
0.703652 18.333125 0.107272
0.703970 18.373625 0.107278
0.704205 18.246382 0.107283
0.704513 18.405083 0.107289
0.705038 18.074167 0.107299
0.705715 18.296957 0.107313
0.705963 18.511097 0.107318
0.706573 18.109259 0.107330
0.706793 18.154930 0.107334
0.708171 18.353954 0.107361
0.709940 18.280152 0.107396
0.710162 18.268687 0.107401
0.710978 18.386298 0.107417
0.711340 18.311644 0.107424
0.711424 18.227275 0.107426
0.712110 18.159426 0.107440
0.713109 18.350603 0.107460
0.713539 18.298393 0.107468
0.714399 18.454092 0.107485
0.714419 18.452261 0.107486
0.715142 18.506661 0.107500
0.715302 18.219035 0.107503
0.715376 18.292590 0.107505
0.716741 18.208642 0.107532
0.717061 18.008397 0.107539
0.717065 18.434332 0.107539
0.717112 18.218985 0.107540
0.718808 18.348357 0.107574
0.720280 18.195559 0.107603
0.721553 18.314698 0.107629
0.722949 18.533044 0.107657
0.724104 18.059181 0.107680
0.724424 18.323668 0.107687
0.724797 18.306706 0.107694
0.725039 18.242333 0.107699
0.725827 18.422900 0.107715
0.726013 18.161851 0.107719
0.726293 18.242779 0.107725
0.726710 18.182491 0.107733
0.728540 18.460401 0.107770
0.728575 18.159576 0.107771
0.729228 18.272806 0.107784
0.729301 18.400979 0.107786
0.729636 18.252995 0.107793
0.730856 18.144951 0.107818
0.731036 18.355619 0.107821
0.731168 18.403210 0.107824
0.733065 18.398283 0.107863
0.733295 18.419514 0.107867
0.733805 18.223155 0.107878
0.735926 18.225128 0.107921
0.736299 18.307081 0.107929
0.736465 18.465356 0.107932
0.737485 18.413778 0.107953
0.739326 18.415131 0.107991
0.740014 18.353689 0.108005
0.740407 18.437801 0.108013
0.740746 18.314808 0.108020
0.740926 18.363416 0.108024
0.741418 18.355424 0.108034
0.742988 18.316513 0.108067
0.743470 18.399347 0.108077
0.743622 18.262164 0.108080
0.743672 18.339891 0.108081
0.743944 18.512291 0.108087
0.748067 18.347941 0.108172
0.748328 18.213525 0.108178
0.748818 18.417854 0.108188
0.748999 18.710797 0.108192
0.751323 18.332590 0.108240
0.752318 18.174318 0.108261
0.752496 18.347603 0.108265
0.754286 18.520410 0.108302
0.755981 18.454118 0.108338
0.757460 18.522092 0.108369
0.758445 18.226058 0.108390
0.758568 18.674872 0.108392
0.758605 18.274989 0.108393
0.758815 18.275254 0.108397
0.759982 18.365434 0.108422
0.760191 18.332300 0.108426
0.760200 18.538145 0.108427
0.760330 18.531052 0.108429
0.760632 18.440882 0.108436
0.760841 18.401402 0.108440
0.760914 18.631128 0.108442
0.761272 18.539362 0.108449
0.761300 18.696535 0.108450
0.761403 18.142524 0.108452
0.761458 18.267320 0.108453
0.762307 18.391243 0.108471
0.762769 18.376321 0.108481
0.764316 18.557145 0.108514
0.764455 18.301897 0.108517
0.764593 18.310202 0.108520
0.764928 18.537746 0.108527
0.765115 18.378280 0.108531
0.767859 18.426150 0.108589
0.768263 18.379365 0.108598
0.769426 18.484371 0.108622
0.769727 18.671729 0.108629
0.769818 18.354446 0.108631
0.769819 18.472963 0.108631
0.771524 18.422532 0.108667
0.771636 18.474383 0.108670
0.772222 18.406755 0.108682
0.772391 18.509387 0.108686
0.773592 18.495249 0.108711
0.774012 18.559934 0.108720
0.775045 18.556531 0.108743
0.775879 18.500297 0.108761
0.778312 18.226529 0.108813
0.778508 18.614652 0.108817
0.778720 18.525905 0.108822
0.779702 18.660743 0.108843
0.780277 18.670160 0.108855
0.781443 18.537429 0.108880
0.782127 18.464429 0.108895
0.783880 18.505037 0.108933
0.786240 18.492982 0.108984
0.790021 18.582649 0.109067
0.790047 18.507307 0.109067
0.790428 18.517812 0.109076
0.790634 18.455309 0.109080
0.791895 18.514837 0.109108
0.792654 18.564654 0.109124
0.792987 18.430871 0.109132
0.793066 18.497724 0.109133
0.793132 18.619335 0.109135
0.795428 18.591020 0.109185
0.795930 18.644591 0.109196
0.796745 18.646896 0.109214
0.798925 18.479482 0.109262
0.799049 18.649948 0.109265
0.799126 18.914925 0.109266
0.799325 18.655389 0.109271
0.799483 18.598045 0.109274
0.799586 18.457624 0.109277
0.801622 18.380748 0.109322
0.801849 18.411218 0.109327
0.802304 18.577250 0.109337
0.802837 18.639193 0.109348
0.802890 18.474693 0.109350
0.803239 18.598743 0.109357
0.803654 18.671679 0.109366
0.804597 18.723476 0.109387
0.804599 18.775326 0.109387
0.805450 18.500292 0.109406
0.805471 18.655938 0.109407
0.805659 18.829896 0.109411
0.805949 18.446947 0.109417
0.806361 18.557698 0.109427
0.806402 18.715120 0.109427
0.806644 18.719507 0.109433
0.807469 18.520327 0.109451
0.807470 18.444012 0.109451
0.807608 18.524320 0.109454
0.807966 18.553573 0.109462
0.810550 18.763649 0.109520
0.810788 18.742028 0.109525
0.811304 18.631491 0.109537
0.812621 18.666795 0.109566
0.812681 18.498495 0.109567
0.813998 18.590009 0.109597
0.815239 18.559058 0.109625
0.815638 18.725763 0.109634
0.816591 18.458526 0.109655
0.816718 18.759930 0.109658
0.817155 18.828673 0.109668
0.818001 18.753418 0.109687
0.818190 18.531943 0.109691
0.818954 18.947441 0.109708
0.819436 18.769188 0.109719
0.821024 18.660936 0.109755
0.821203 18.674265 0.109759
0.821769 18.594352 0.109771
0.822186 18.773778 0.109781
0.823414 18.893083 0.109809
0.823785 18.452501 0.109817
0.824695 18.746215 0.109838
0.825483 18.705976 0.109855
0.825831 18.732664 0.109863
0.826069 18.653836 0.109869
0.826519 18.708638 0.109879
0.826884 18.765219 0.109887
0.827019 18.614410 0.109890
0.827878 18.479509 0.109910
0.828058 18.761320 0.109914
0.828508 18.746117 0.109924
0.828637 18.738818 0.109927
0.829109 18.524352 0.109938
0.829607 18.720080 0.109949
0.830080 18.610578 0.109960
0.830134 18.944501 0.109961
0.830422 18.859974 0.109968
0.831528 18.804141 0.109993
0.832334 18.675665 0.110011
0.832706 18.441765 0.110020
0.835487 18.627685 0.110083
0.836090 18.504880 0.110097
0.836275 18.664743 0.110101
0.836505 18.630833 0.110107
0.836972 18.629926 0.110117
0.837049 18.530220 0.110119
0.837147 18.852661 0.110121
0.837202 18.766585 0.110123
0.837683 18.624160 0.110134
0.838424 18.628352 0.110151
0.839065 18.632052 0.110165
0.839937 18.702329 0.110185
0.840198 18.618293 0.110191
0.840206 18.653972 0.110192
0.840311 18.848877 0.110194
0.841343 18.762778 0.110218
0.841552 18.875760 0.110222
0.842865 18.643806 0.110253
0.843408 18.829506 0.110265
0.843544 18.630336 0.110268
0.843722 18.740168 0.110272
0.843864 18.748624 0.110276
0.843962 18.665304 0.110278
0.845606 18.783060 0.110316
0.846707 18.929463 0.110341
0.846742 18.771060 0.110342
0.846803 18.769690 0.110344
0.847104 18.665511 0.110351
0.848709 18.970997 0.110388
0.848885 18.787914 0.110392
0.850107 18.853771 0.110420
0.850139 18.742469 0.110421
0.850477 18.705073 0.110429
0.850738 18.657985 0.110435
0.850751 18.722215 0.110435
0.850970 18.726095 0.110440
0.852752 18.613992 0.110482
0.853227 18.702728 0.110493
0.853803 18.734909 0.110506
0.853889 18.631192 0.110508
0.854144 18.799345 0.110514
0.854551 18.961319 0.110524
0.855113 18.734666 0.110537
0.855441 18.500092 0.110544
0.855839 18.526514 0.110554
0.855885 18.742264 0.110555
0.856663 18.811593 0.110573
0.856963 18.790209 0.110580
0.857004 18.839131 0.110581
0.857431 18.700415 0.110591
0.858026 18.575181 0.110605
0.858418 18.897709 0.110614
0.858584 18.720581 0.110618
0.858843 18.564103 0.110624
0.859628 18.735939 0.110642
0.860338 18.653259 0.110659
0.860921 18.880722 0.110673
0.861400 18.725131 0.110684
0.862352 18.724446 0.110706
0.862416 18.873801 0.110708
0.862704 18.747108 0.110715
0.862967 18.743360 0.110721
0.863231 18.934112 0.110727
0.863410 18.902048 0.110731
0.863689 18.714367 0.110738
0.863978 18.681042 0.110745
0.864627 18.765506 0.110760
0.866531 18.816035 0.110805
0.866555 18.869267 0.110805
0.867465 18.871961 0.110827
0.867505 18.774283 0.110828
0.867692 18.729124 0.110832
0.868067 18.914383 0.110841
0.868830 18.834317 0.110859
0.869832 18.802970 0.110883
0.869905 18.798191 0.110884
0.870341 18.877389 0.110895
0.870633 18.931497 0.110902
0.871170 18.861144 0.110914
0.871188 19.026885 0.110915
0.871360 18.762881 0.110919
0.871397 18.663315 0.110920
0.871468 18.853839 0.110921
0.871762 18.734230 0.110928
0.872870 18.818110 0.110955
0.872882 18.844612 0.110955
0.873951 18.564980 0.110980
0.875779 18.894049 0.111024
0.877753 18.550990 0.111071
0.877975 18.975901 0.111076
0.878451 18.712411 0.111087
0.878647 18.699384 0.111092
0.879687 18.794420 0.111117
0.880855 18.942681 0.111145
0.880986 18.783004 0.111148
0.881039 18.909917 0.111149
0.881040 18.583829 0.111149
0.881079 18.771234 0.111150
0.881681 18.741268 0.111165
0.882638 18.771454 0.111188
0.882987 18.965807 0.111196
0.884052 18.883193 0.111221
0.884558 19.056021 0.111234
0.886451 18.705702 0.111279
0.886759 18.707489 0.111286
0.886767 18.845747 0.111287
0.887048 18.847679 0.111293
0.887067 18.775657 0.111294
0.887084 18.838326 0.111294
0.888018 18.936779 0.111317
0.888042 18.998001 0.111317
0.888365 19.035904 0.111325
0.888464 18.822671 0.111327
0.888794 18.823003 0.111335
0.888821 18.584131 0.111336
0.889517 18.822847 0.111353
0.889893 19.022783 0.111362
0.891284 18.896196 0.111395
0.891503 18.709292 0.111401
0.891979 18.785632 0.111412
0.892126 18.791399 0.111416
0.892692 18.899873 0.111430
0.892784 18.849546 0.111432
0.893511 18.945297 0.111449
0.893530 18.828411 0.111450
0.893807 18.850925 0.111456
0.893833 18.773329 0.111457
0.894397 18.784623 0.111471
0.896127 18.834137 0.111513
0.896176 18.878618 0.111514
0.896882 18.701275 0.111531
0.896890 18.865021 0.111531
0.896900 18.989098 0.111531
0.897096 18.922488 0.111536
0.897272 18.845285 0.111540
0.897734 18.868385 0.111552
0.898059 18.825387 0.111560
0.898490 18.927819 0.111570
0.898892 18.915194 0.111580
0.899017 18.810061 0.111583
0.900016 18.926358 0.111607
0.900741 18.869875 0.111625
0.900793 18.973707 0.111626
0.901766 18.901088 0.111650
0.902041 18.955167 0.111656
0.902535 18.817507 0.111669
0.902616 18.737276 0.111671
0.903080 18.936590 0.111682
0.903295 18.758992 0.111687
0.903314 18.825175 0.111688
0.903933 18.725277 0.111703
0.904738 18.911131 0.111722
0.905233 18.848115 0.111734
0.905842 19.008304 0.111749
0.905884 18.708282 0.111750
0.906682 19.161599 0.111770
0.906773 18.972959 0.111772
0.908601 18.841948 0.111817
0.909521 19.026304 0.111839
0.909953 19.070951 0.111850
0.910341 18.888444 0.111860
0.911630 18.973281 0.111891
0.911709 18.908079 0.111893
0.911785 18.865329 0.111895
0.912029 18.755875 0.111901
0.912444 19.021909 0.111911
0.912526 18.990232 0.111913
0.912979 19.161045 0.111924
0.913889 19.041658 0.111947
0.914010 18.761323 0.111950
0.914899 18.759635 0.111972
0.914957 19.085429 0.111973
0.915056 18.999372 0.111976
0.915438 19.244122 0.111985
0.915576 19.336246 0.111988
0.915998 19.012672 0.111999
0.916076 18.871830 0.112001
0.916321 19.001240 0.112007
0.916788 18.935740 0.112018
0.917287 18.851859 0.112031
0.917650 18.998197 0.112040
0.917865 18.940592 0.112045
0.918758 18.712375 0.112067
0.918786 18.922218 0.112068
0.918958 19.072978 0.112072
0.919571 18.914410 0.112087
0.921332 18.959495 0.112131
0.921950 18.800492 0.112146
0.922318 18.848737 0.112155
0.922363 18.951378 0.112156
0.922496 19.020869 0.112160
0.923343 18.946343 0.112181
0.924141 18.807693 0.112201
0.924481 18.911404 0.112209
0.925444 18.962833 0.112233
0.925697 19.031208 0.112239
0.925738 19.106199 0.112240
0.926750 18.999403 0.112266
0.927433 18.899699 0.112283
0.927730 18.801012 0.112290
0.928157 18.858205 0.112301
0.928416 19.020979 0.112307
0.928695 19.025059 0.112314
0.929008 19.052491 0.112322
0.929401 18.990490 0.112332
0.930842 19.008334 0.112368
0.931594 19.013347 0.112387
0.931670 18.978280 0.112388
0.931823 19.067331 0.112392
0.931835 19.009357 0.112393
0.932120 18.880284 0.112400
0.932317 19.056482 0.112405
0.933036 18.748346 0.112423
0.933586 18.937697 0.112436
0.933732 18.803210 0.112440
0.934167 18.909908 0.112451
0.934427 18.840697 0.112458
0.935776 19.091849 0.112491
0.937379 19.116187 0.112532
0.937472 19.130601 0.112534
0.937614 18.957707 0.112538
0.937621 19.017206 0.112538
0.937924 18.966868 0.112545
0.938201 19.114656 0.112552
0.938252 18.965231 0.112554
0.938331 18.975183 0.112556
0.938927 19.266456 0.112571
0.938951 18.987977 0.112571
0.939340 19.116967 0.112581
0.939550 18.896176 0.112586
0.939657 19.087705 0.112589
0.939677 19.027611 0.112589
0.939743 18.910583 0.112591
0.939821 18.906411 0.112593
0.940339 19.162266 0.112606
0.940907 19.074415 0.112620
0.941158 19.101409 0.112627
0.941341 18.942629 0.112631
0.941790 18.879297 0.112643
0.941913 19.030335 0.112646
0.942041 19.115015 0.112649
0.942115 19.216528 0.112651
0.942244 19.080387 0.112654
0.942377 19.114674 0.112658
0.942401 18.833717 0.112658
0.942495 19.060726 0.112661
0.942645 18.916131 0.112664
0.943233 18.926561 0.112679
0.943434 18.878014 0.112684
0.943582 18.941951 0.112688
0.945875 19.036237 0.112746
0.945898 19.020314 0.112747
0.946006 19.240611 0.112749
0.946097 18.980293 0.112752
0.946424 19.103539 0.112760
0.946523 18.918886 0.112762
0.946696 19.034803 0.112767
0.947985 18.950289 0.112800
0.948659 19.015506 0.112817
0.948977 19.075825 0.112825
0.949433 18.896359 0.112836
0.950459 19.021592 0.112862
0.950500 19.084566 0.112863
0.950692 18.945973 0.112868
0.952189 19.018303 0.112906
0.952338 18.976566 0.112910
0.952602 19.030502 0.112917
0.952762 18.904720 0.112921
0.953059 19.126712 0.112929
0.953333 19.003961 0.112936
0.953623 19.302951 0.112943
0.955520 19.215671 0.112991
0.955566 18.981570 0.112993
0.956733 19.359972 0.113022
0.958203 18.972710 0.113060
0.959336 19.013876 0.113089
0.959720 19.176310 0.113099
0.960935 19.157644 0.113130
0.961334 18.815175 0.113140
0.961337 19.013364 0.113140
0.962430 18.946875 0.113168
0.962451 19.007077 0.113169
0.963051 19.198881 0.113184
